#Step	Prey	Predator
1	440.0	240.0
2	327.9999999999999	240.0
3	422.08000000000004	172.79999999999995
4	358.2023680000001	294.02880000000005
5	403.6595417959626	106.08842465279992
6	385.66465450797534	302.61922296909347
7	383.045912543237	106.3879674186984
8	404.8780853074353	290.26231362910033
9	365.9767047483215	140.95434260988054
10	414.13993789177607	275.2951662169436
11	357.33085626861316	172.37150286163052
12	416.32871431137494	255.44749191507594
13	356.793401941805	204.52236406489453
14	413.4203110728936	229.90365462300068
15	362.6887997183402	236.66775468397697
16	406.6837964809714	197.88967944760333
17	373.3038698972729	265.88729912157044
18	396.5439833782615	162.97807180127387
19	387.0984891871624	284.3930095680522
20	383.62996494976346	140.69448458128375
21	400.96069635437834	285.9672220513047
22	370.43796675306476	146.25410163036116
23	410.5670540354346	276.1909806267161
24	361.25553474695494	168.74302221291305
25	414.36449509303156	259.999607554639
26	358.60385055511586	196.6192857230904
27	413.1660149282591	238.14780703717764
28	362.1524846225674	226.29030671476687
29	408.0563126047309	210.17431359446766
30	370.6017351718965	255.15932204222483
31	399.56104274936445	177.50489722434617
32	382.6875041108616	277.45206990327097
33	388.06867632925434	149.91152389206724
34	396.2283888588586	285.37655710061733
35	375.16283017807973	144.45234941298457
36	407.3075098568073	279.66287620647597
37	364.4592040210083	160.95704810081435
38	413.12935027480864	266.1924186568614
39	359.3895086663124	186.39725193548384
40	413.7247061083216	246.95100468331844
41	360.63835563454734	214.9569352461413
42	410.1192556050768	221.8032220994149
43	367.1884255149772	244.07175100399058
44	403.02140228369296	190.93688322260607
45	377.83926503524685	269.55894604126695
46	392.74934948973623	159.9082727121484
47	390.99696357493906	283.6954312682909
48	380.2282199738771	144.2476639275755
49	403.3923972063584	282.7724195618455
50	368.2728190434284	153.28389351754316
51	411.3657215475621	272.09621423586697
52	360.77875889736754	175.94351958053676
53	413.9353603764248	255.22451646507733
54	359.5712166329632	203.41041531327733
55	411.915309213015	232.61520153478313
56	364.11329766529775	232.47674729073157
57	406.1997505833315	203.96521046459003
58	373.211543833732	260.0725464617253
59	397.1930946012353	171.8180802927057
60	385.585703779906	279.70848150536403
61	385.4045883919546	147.84657879366114
62	398.745623528638	284.58093540324876
63	372.78841562937737	147.3548590858161
64	408.77374684224355	277.19612189102054
65	363.1217478003955	165.9915322283611
66	413.4790715502802	262.6977902738393
67	359.34272257304804	192.004367157601
68	413.19176967233125	242.48205237923565
69	361.68991115430606	220.65759079032603
70	408.9060152298364	216.2884346949874
71	369.0685557642945	249.3574523883488
72	401.2119277843377	184.83863577772223
73	380.29686479311806	273.2230496452498
74	390.4397625574536	155.4692991983925
75	393.5563168229179	284.4265716865075
76	377.79342074399824	144.51064554220898
77	405.28985389051536	281.22112916769896
78	366.4481204217997	157.09053696699982
79	412.2141827653502	269.28127889387787
80	360.1117580421351	180.9758806288637
81	413.83529466253265	251.37917667006747
82	360.0697107784648	208.86081881798884
83	411.0720673531589	227.67451898026277
84	365.5475273714502	237.90677832571419
85	404.7269304448736	198.02779671455318
86	375.3585705265177	264.59169329483063
87	395.14625991151627	166.22218413709572
88	388.1137277105415	281.78308600118226
89	383.00154634464445	145.82109344587707
90	400.97160717740155	283.88517412849535
91	370.63515530721315	149.90269539795514
92	410.06310463383386	274.9199676842179
93	361.9385682233868	170.5448840754829
94	413.76358042463596	259.3347259954638
95	359.3557662452904	197.2538463140802
96	412.6590804357643	238.04729126416862
97	362.7349288504232	226.11490426100437
98	407.71015308456106	210.72760235254285
99	370.9198543772477	254.39584247227666
100	399.4122870283222	178.801116009956
