#Step	Prey	Predator
1	6.46	6.14
2	5.75297384	3.42642736
3	6.491682651623104	0.8555749569269322
4	8.686725907670917	-2.126254983293457
5	12.282590177035617	-6.095097901160848
6	16.45310292332267	-11.528895900064894
7	19.864473854859362	-18.317186756241398
8	22.48090028367325	-25.432443335652618
9	24.676129169635242	-31.79211072627609
10	26.148399972940844	-36.84834962922265
11	27.28983502060694	-40.35245956592794
12	27.76962222549873	-42.64570887853075
13	28.4028450026231	-43.920639928341636
14	28.185429891065148	-44.79004352788057
15	29.022687104665827	-45.031802132227654
16	27.848749397541273	-45.56659922037895
17	29.977103837776745	-45.16371512309081
18	26.325016133538753	-46.118645920321825
19	32.40841310855222	-44.578164108951526
20	21.41162838264229	-47.15235407181296
21	37.909184643606146	-42.380220281368366
22	7.144713924084872	-49.0713009511687
23	36.78701192361342	-35.502048877505146
24	6.019093093789659	-45.0747055656042
25	33.38077206250962	-33.55047014887437
26	12.914003818837557	-42.25859910094793
27	36.822579504678146	-36.03994927501698
28	6.24599149076268	-45.38370820473162
29	33.80609528913953	-33.78211317292198
30	12.121045783715338	-42.605335552989395
31	36.732568267862156	-35.771450646904476
32	6.317880092390104	-45.1931089280636
33	33.78126095624115	-33.75021751968943
34	12.157146541754159	-42.57472997348654
35	36.73006736234772	-35.777638780520135
36	6.327936402614644	-45.19517843789319
37	33.793504235040295	-33.75623742128969
38	12.133658294705315	-42.58434021445551
39	36.72597419553003	-35.769382773386695
40	6.333521013154241	-45.18862746788888
41	33.79607172116651	-33.756760862512316
42	12.128296412579742	-42.585938193779114
43	36.724698568991315	-35.767253072708115
44	6.335523207280849	-45.186825359977455
45	33.79729126191778	-33.75714853195923
46	12.125830933684782	-42.58677574160954
47	36.724168090878266	-35.766315996940364
48	6.336325364832138	-45.18604811975236
49	33.797749397596014	-33.75728359758639
50	12.1248984937321	-42.58708440921429
51	36.72396276654309	-35.76595826874413
52	6.336638775872351	-45.185749970175216
53	33.79793140744056	-33.75733839033346
54	12.124528709229619	-42.58720767783637
55	36.72388178837916	-35.76581675372767
56	6.3367621268248655	-45.18563214955644
57	33.798002777402246	-33.757359780589844
58	12.124383651836169	-42.58725596036669
59	36.7238499776078	-35.765761210890545
60	6.336810611565449	-45.185585892181294
61	33.798030859224724	-33.75736820788166
62	12.124326582576872	-42.58727496417139
63	36.72383746633078	-35.76573936229613
64	6.336829678712272	-45.185567697149196
65	33.79804190052799	-33.75737152059564
66	12.12430414342798	-42.5872824357226
67	36.72383254656975	-35.76573077137208
68	6.336837176711707	-45.18556054266353
69	33.79804624272627	-33.75737282349753
70	12.12429531887828	-42.58728537411451
71	36.723830611827466	-35.765727392890646
72	6.336840125358078	-45.18555772908384
73	33.798047950315	-33.757373335865225
74	12.124291848581862	-42.58728652964774
75	36.72382985097631	-35.76572606428519
76	6.336841284937856	-45.185556622627026
77	33.798048621841986	-33.75737353736056
78	12.12429048385253	-42.58728698407398
79	36.723829551764034	-35.76572554179801
80	6.33684174095418	-45.18555618750195
81	33.79804888592669	-33.75737361660065
82	12.1242899471591	-42.58728716278167
83	36.72382943409579	-35.76572533632473
84	6.3368419202872355	-45.185556016384666
85	33.79804898978073	-33.75737364776265
86	12.124289736098833	-42.587287233060316
87	36.723829387821496	-35.76572525552022
88	6.336841990811887	-45.18555594909101
89	33.79804903062247	-33.757373660017464
90	12.12428965309709	-42.587287260698176
91	36.72382936962365	-35.76572522374298
92	6.336842018546447	-45.18555592262705
93	33.7980490466839	-33.75737366483679
94	12.1242896204558	-42.58728727156705
95	36.723829362467164	-35.76572521124625
96	6.336842029453324	-45.185555912219826
97	33.79804905300019	-33.75737366673202
98	12.124289607619351	-42.58728727584131
99	36.723829359652804	-35.76572520633181
100	6.336842033742581	-45.1855559081271
